policy,seed,wait_seconds
batch,2,120.8000
batch,2,156.3000
batch,2,97.7000
batch,2,271.5000
batch,2,153.5000
batch,2,183.3000
batch,2,159.3000
batch,2,61.1000
batch,2,1049.2000
batch,2,128.8000
batch,2,113.7000
batch,2,1070.5000
batch,2,527.7000
batch,2,240.9000
batch,2,181.2000
batch,2,195.1000
batch,2,802.0000
batch,2,129.9000
batch,2,87.1000
batch,2,74.7000
batch,2,221.4000
batch,2,126.3000
batch,2,117.3000
batch,2,79.3000
batch,2,192.0000
batch,2,167.3000
batch,2,670.0000
batch,2,193.7000
batch,2,482.5000
batch,2,178.9000
batch,2,262.1000
batch,2,165.9000
batch,2,149.3000
batch,2,1423.0000
batch,2,421.3000
batch,2,73.4000
batch,2,69.0000
batch,2,499.0000
batch,2,834.9000
batch,2,827.4000
batch,3,76.3000
batch,3,17.9000
batch,3,53.6000
batch,3,12.9000
batch,3,13.3000
batch,3,29.9000
batch,3,45.4000
batch,3,33.2000
batch,3,31.4000
batch,3,71.5000
batch,3,64.5000
batch,3,33.1000
batch,3,19.1000
batch,3,55.2000
batch,3,47.6000
batch,3,20.3000
batch,3,35.2000
batch,3,67.5000
batch,3,6.7000
batch,3,22.3000
batch,3,24.0000
batch,3,42.0000
batch,3,14.5000
batch,3,39.3000
batch,3,8.8000
batch,3,79.8000
batch,3,29.6000
batch,3,32.2000
batch,3,78.0000
batch,3,3.5000
batch,3,9.7000
batch,3,84.4000
batch,3,28.9000
batch,3,53.5000
batch,3,26.5000
batch,3,93.1000
batch,3,51.0000
batch,3,77.9000
batch,3,47.4000
batch,3,14.1000
batch,3,18.1000
batch,3,3.3000
batch,3,74.4000
batch,3,29.7000
batch,3,16.9000
batch,3,83.4000
batch,3,11.6000
batch,3,80.3000
batch,3,37.7000
batch,3,11.3000
batch,3,31.3000
batch,3,50.6000
batch,3,8.8000
batch,3,25.2000
batch,3,7.6000
batch,3,83.3000
batch,3,66.6000
batch,3,80.2000
batch,3,70.3000
batch,3,186.1000
batch,3,30.4000
batch,3,43.8000
batch,3,51.5000
batch,3,27.2000
batch,3,16.0000
batch,3,200.2000
batch,3,60.5000
batch,3,176.6000
batch,3,38.5000
batch,3,62.1000
batch,3,31.9000
batch,3,66.8000
batch,3,30.1000
batch,3,31.6000
batch,3,18.2000
batch,3,44.5000
batch,3,55.1000
batch,3,23.6000
batch,3,41.3000
batch,3,65.7000
batch,3,100.1000
batch,3,16.2000
batch,3,35.8000
batch,3,48.3000
batch,3,85.2000
batch,3,27.7000
batch,3,8.5000
batch,3,272.2000
batch,3,109.7000
batch,3,106.9000
batch,3,58.1000
batch,3,190.6000
batch,3,28.6000
batch,3,69.5000
batch,3,84.6000
batch,3,78.8000
batch,3,341.1000
batch,3,84.3000
batch,3,136.2000
batch,3,125.5000
batch,3,103.5000
batch,3,50.4000
batch,3,172.5000
batch,3,59.8000
batch,3,2.6000
batch,3,35.9000
batch,3,94.0000
batch,3,307.9000
batch,3,48.5000
batch,3,324.5000
batch,3,70.6000
batch,3,73.7000
batch,3,29.7000
batch,3,121.7000
batch,3,58.9000
batch,3,65.8000
batch,3,69.2000
batch,3,34.2000
batch,3,93.7000
batch,3,14.6000
batch,3,193.0000
batch,3,122.1000
batch,3,96.0000
batch,3,104.6000
batch,3,35.7000
batch,3,379.6000
batch,3,126.5000
batch,3,60.3000
batch,3,19.8000
batch,3,415.8000
batch,3,56.8000
batch,3,18.2000
batch,3,125.6000
batch,3,163.4000
batch,3,102.4000
batch,3,285.2000
batch,3,62.5000
batch,3,24.3000
batch,3,50.1000
batch,3,59.3000
batch,3,121.5000
batch,3,59.1000
batch,3,6.9000
batch,3,10.9000
batch,3,61.2000
batch,3,44.0000
batch,3,185.9000
batch,3,174.0000
batch,3,51.6000
batch,3,77.0000
batch,3,55.3000
batch,3,86.7000
batch,3,82.0000
batch,3,93.2000
batch,3,182.4000
batch,3,28.7000
batch,3,539.8000
batch,3,70.8000
batch,3,148.7000
batch,3,20.3000
batch,3,108.7000
batch,3,39.4000
batch,3,17.1000
batch,3,143.3000
batch,3,70.3000
batch,3,65.3000
batch,3,138.4000
batch,3,118.8000
batch,3,33.2000
batch,3,126.0000
batch,3,55.5000
batch,3,166.3000
batch,3,174.9000
batch,3,88.1000
batch,3,176.2000
batch,3,98.4000
batch,3,130.3000
batch,3,96.4000
batch,3,51.9000
batch,3,51.0000
batch,3,46.3000
batch,3,67.7000
batch,3,35.1000
batch,3,107.1000
batch,3,46.8000
batch,3,51.9000
batch,3,39.1000
batch,3,108.3000
batch,3,146.4000
batch,3,18.1000
batch,3,151.7000
batch,3,98.9000
batch,3,240.0000
batch,3,175.6000
batch,3,170.5000
batch,3,63.5000
batch,3,134.7000
batch,3,31.0000
batch,3,109.9000
batch,3,66.6000
batch,3,54.9000
batch,3,105.5000
batch,3,217.3000
batch,3,32.3000
batch,3,68.0000
batch,3,71.9000
batch,3,47.2000
batch,3,188.9000
batch,3,156.7000
batch,3,137.9000
batch,3,93.1000
batch,3,136.8000
batch,3,712.3000
batch,3,25.2000
batch,3,113.1000
batch,3,43.3000
batch,3,56.7000
batch,3,81.5000
batch,3,339.8000
batch,3,156.9000
batch,3,39.8000
batch,3,224.2000
batch,3,62.7000
batch,3,141.4000
batch,3,263.6000
batch,3,108.8000
batch,3,151.8000
batch,3,128.5000
batch,3,126.4000
batch,3,82.4000
batch,3,210.6000
batch,3,245.1000
batch,3,73.0000
batch,3,614.6000
batch,3,136.9000
batch,3,174.8000
batch,3,50.3000
batch,3,34.7000
batch,3,228.1000
batch,3,62.7000
batch,3,411.8000
batch,3,166.8000
batch,3,89.8000
batch,3,32.9000
batch,3,103.0000
batch,3,74.4000
batch,3,114.9000
batch,3,95.3000
batch,3,127.7000
