demand,policy,seed,wait_seconds,picked_up
1,greedy,2,19.1000,true
1,greedy,2,53.5000,true
1,greedy,2,280.5000,true
1,greedy,2,12.3000,true
1,greedy,2,19.1000,true
1,greedy,2,3.7000,true
1,greedy,2,5.1000,true
1,greedy,2,25.2000,true
1,greedy,2,23.0000,true
1,greedy,2,45.8000,true
1,greedy,2,61.4000,true
1,greedy,2,52.5000,true
1,greedy,2,11.9000,true
1,greedy,2,17.2000,true
1,greedy,2,43.4000,true
1,greedy,2,18.0000,true
1,greedy,2,44.3000,true
1,greedy,2,3.8000,true
1,greedy,2,87.7000,true
1,greedy,2,31.6000,true
1,greedy,2,31.3000,true
1,greedy,2,54.3000,true
1,greedy,2,49.8000,true
1,greedy,2,18.3000,true
1,greedy,2,42.9000,true
1,greedy,2,21.4000,true
1,greedy,2,62.8000,true
1,greedy,2,46.3000,true
1,greedy,2,0.1000,true
1,greedy,2,25.5000,true
1,greedy,2,27.6000,true
1,greedy,2,30.1000,true
1,greedy,2,12.3000,true
1,greedy,2,46.3000,true
1,greedy,2,262.7000,true
1,greedy,2,14.2000,true
1,greedy,2,23.2000,true
1,greedy,2,78.7000,true
1,greedy,2,35.4000,true
1,greedy,2,93.5000,true
1,greedy,2,73.2000,true
1,greedy,2,19.5000,true
1,greedy,2,19.6000,true
1,greedy,2,93.2000,true
1,greedy,2,155.3000,true
1,greedy,2,28.7000,true
1,greedy,2,19.2000,true
1,greedy,2,0.4000,true
1,greedy,2,22.3000,true
1,greedy,2,50.3000,true
1,greedy,2,28.7000,true
1,greedy,2,72.1000,true
1,greedy,2,30.5000,true
1,greedy,2,34.0000,true
1,greedy,2,27.1000,true
1,greedy,2,262.8000,true
1,greedy,2,47.7000,true
1,greedy,2,290.0000,true
1,greedy,2,56.9000,true
1,greedy,2,72.7000,true
1,greedy,2,29.1000,true
1,greedy,2,14.7000,true
1,greedy,2,17.8000,true
1,greedy,2,174.3000,true
1,greedy,2,57.1000,true
1,greedy,2,64.5000,true
1,greedy,2,36.3000,true
1,greedy,2,78.0000,true
1,greedy,2,18.4000,true
1,greedy,2,139.2000,true
1,greedy,2,137.4000,true
1,greedy,2,23.0000,true
1,greedy,2,59.9000,true
1,greedy,2,71.6000,true
1,greedy,2,10.2000,true
1,greedy,2,35.4000,true
1,greedy,2,44.3000,true
1,greedy,2,63.0000,true
1,greedy,2,176.2000,true
1,greedy,2,13.5000,true
1,greedy,2,9.4000,true
1,greedy,2,53.0000,true
1,greedy,2,2.5000,true
1,greedy,2,8.1000,true
1,greedy,2,27.3000,true
1,greedy,2,265.0000,true
1,greedy,2,138.9000,true
1,greedy,2,46.8000,true
1,greedy,2,26.1000,true
1,greedy,2,27.7000,true
1,greedy,2,41.7000,true
1,greedy,2,113.7000,true
1,greedy,2,49.4000,true
1,greedy,2,46.5000,true
1,greedy,2,43.7000,true
1,greedy,2,33.5000,true
1,greedy,2,31.6000,true
1,greedy,2,256.1000,true
1,greedy,2,91.8000,true
1,greedy,2,132.5000,true
1,greedy,2,23.7000,true
1,greedy,2,23.2000,true
1,greedy,2,15.1000,true
1,greedy,2,6.9000,true
1,greedy,2,52.8000,true
1,greedy,2,156.1000,true
1,greedy,2,35.9000,true
1,greedy,2,137.5000,true
1,greedy,2,19.8000,true
1,greedy,2,0.2000,true
1,greedy,2,80.6000,true
1,greedy,2,62.2000,true
1,greedy,2,52.1000,true
1,greedy,2,272.3000,true
1,greedy,2,136.1000,true
1,greedy,2,146.2000,true
1,greedy,2,62.6000,true
1,greedy,2,196.0000,true
1,greedy,2,141.7000,true
1,greedy,2,42.3000,true
1,greedy,2,65.8000,true
1,greedy,2,80.1000,true
1,greedy,2,65.8000,true
1,greedy,2,73.5000,true
1,greedy,2,60.9000,true
1,greedy,2,147.7000,true
1,greedy,2,21.9000,true
1,greedy,2,492.5000,true
1,greedy,2,65.2000,true
1,greedy,2,51.0000,true
1,greedy,2,42.0000,true
1,greedy,2,67.4000,true
1,greedy,2,0.1000,true
1,greedy,2,50.6000,true
1,greedy,2,16.0000,true
1,greedy,2,28.7000,true
1,greedy,2,18.8000,true
1,greedy,2,96.4000,true
1,greedy,2,92.6000,true
1,greedy,2,153.0000,true
1,greedy,2,84.8000,true
1,greedy,2,61.1000,true
1,greedy,2,45.9000,true
1,greedy,2,52.0000,true
1,greedy,2,236.7000,true
1,greedy,2,37.4000,true
1,greedy,2,37.1000,true
1,greedy,2,23.6000,true
1,greedy,2,96.2000,true
1,greedy,2,18.1000,true
1,greedy,2,128.1000,true
1,greedy,2,67.9000,true
1,greedy,2,103.2000,true
1,greedy,2,11.5000,true
1,greedy,2,131.8000,true
1,greedy,2,78.0000,true
1,greedy,2,51.2000,true
1,greedy,2,128.8000,true
1,greedy,2,41.5000,true
1,greedy,2,69.5000,true
1,greedy,2,78.0000,true
1,greedy,2,80.1000,true
1,greedy,2,43.5000,true
1,greedy,2,75.0000,true
1,greedy,2,70.8000,true
1,greedy,2,44.7000,true
1,greedy,2,26.4000,true
1,greedy,2,88.6000,true
1,greedy,2,81.4000,true
1,greedy,2,127.3000,true
1,greedy,2,57.5000,true
1,greedy,2,40.5000,true
1,greedy,2,34.0000,true
1,greedy,2,53.5000,true
1,greedy,2,120.3000,true
1,greedy,2,83.3000,true
1,greedy,2,2.2000,true
1,greedy,2,118.0000,true
1,greedy,2,118.2000,true
1,greedy,2,28.5000,true
1,greedy,2,21.4000,true
1,greedy,2,91.2000,true
1,greedy,2,96.1000,true
1,greedy,2,35.7000,true
1,greedy,2,90.6000,true
1,greedy,2,39.4000,true
1,greedy,2,3.8000,true
1,greedy,2,71.7000,true
1,greedy,2,182.4000,true
1,greedy,2,92.0000,true
1,greedy,2,122.9000,true
1,greedy,2,82.8000,true
1,greedy,2,79.4000,true
1,greedy,2,24.3000,true
1,greedy,2,78.8000,true
1,greedy,2,103.1000,true
1,greedy,2,153.5000,true
1,greedy,2,134.6000,true
1,greedy,2,77.1000,true
1,greedy,2,223.3000,true
1,greedy,2,71.4000,true
1,greedy,2,37.7000,true
1,greedy,2,76.9000,true
1,greedy,2,60.3000,true
1,greedy,2,35.1000,true
1,greedy,2,11.4000,true
1,greedy,2,115.7000,true
1,greedy,2,64.9000,true
1,greedy,2,109.2000,true
1,greedy,2,61.5000,true
1,greedy,2,457.1000,true
1,greedy,2,58.7000,true
1,greedy,2,54.3000,true
1,greedy,2,56.3000,true
1,greedy,2,311.5000,true
1,greedy,2,237.1000,true
1,greedy,2,94.8000,true
1,greedy,2,481.5000,true
1,greedy,2,134.4000,true
1,greedy,2,103.3000,true
1,greedy,2,196.8000,true
1,greedy,2,68.2000,true
1,greedy,2,81.2000,true
1,greedy,2,54.5000,true
1,greedy,2,130.9000,true
1,greedy,2,113.1000,true
1,greedy,2,122.9000,true
1,greedy,2,55.6000,true
1,greedy,2,181.7000,true
1,greedy,2,93.1000,true
1,greedy,2,47.9000,true
1,greedy,2,161.5000,true
1,greedy,2,120.9000,true
1,greedy,2,126.1000,true
1,greedy,2,37.5000,true
1,greedy,2,66.1000,true
1,greedy,2,71.5000,true
1,greedy,2,46.7000,true
1,greedy,2,156.9000,true
1,greedy,2,96.4000,true
1,greedy,2,152.4000,true
1,greedy,2,120.0000,true
1,greedy,2,93.0000,true
1,greedy,2,122.8000,true
1,greedy,2,93.7000,true
1,greedy,2,81.8000,true
1,greedy,2,144.4000,true
1,greedy,2,141.4000,true
1,greedy,2,23.3000,true
1,greedy,2,36.4000,true
1,greedy,2,244.1000,true
1,greedy,2,57.9000,true
1,greedy,2,49.7000,true
1,greedy,2,131.2000,true
1,greedy,2,109.5000,true
1,greedy,2,79.3000,true
1,greedy,2,468.5000,true
1,greedy,2,102.4000,true
1,greedy,2,129.4000,true
1,greedy,2,158.4000,true
1,greedy,2,94.3000,true
1,greedy,2,147.0000,true
1,greedy,2,46.7000,true
1,greedy,2,110.3000,true
1,greedy,2,143.2000,true
1,greedy,2,149.4000,true
1,greedy,2,163.5000,true
1,greedy,2,96.5000,true
1,greedy,2,83.3000,true
1,greedy,2,171.9000,true
1,greedy,2,83.5000,true
1,greedy,2,216.1000,true
1,greedy,2,140.8000,true
1,greedy,2,130.9000,true
1,greedy,2,157.7000,true
1,greedy,2,76.8000,true
1,greedy,2,128.3000,true
1,greedy,2,92.7000,true
1,greedy,2,30.7000,true
1,greedy,2,78.7000,true
1,greedy,2,444.7000,true
1,greedy,2,49.4000,true
1,greedy,2,271.8000,true
1,greedy,2,186.9000,true
1,greedy,2,102.7000,true
1,greedy,2,95.1000,true
1,greedy,2,124.0000,true
1,greedy,2,117.5000,true
1,greedy,2,137.4000,true
1,greedy,2,855.4000,true
1,greedy,2,200.9000,true
1,greedy,2,169.6000,true
1,greedy,2,190.7000,true
1,greedy,2,467.2000,true
1,greedy,2,140.4000,true
1,greedy,2,59.9000,true
1,greedy,2,187.2000,true
1,greedy,2,73.6000,true
1,greedy,2,123.9000,true
1,greedy,2,69.3000,true
1,greedy,2,104.4000,true
1,greedy,2,94.6000,true
1,greedy,2,113.5000,true
1,greedy,2,179.6000,true
1,greedy,2,55.7000,true
1,greedy,2,37.0000,true
1,greedy,2,18.6000,true
1,greedy,2,137.0000,true
1,greedy,2,193.2000,true
1,greedy,2,199.3000,true
1,greedy,2,239.0000,true
1,greedy,2,117.3000,true
1,greedy,2,0.4000,true
1,greedy,2,145.8000,true
1,greedy,2,504.8000,true
1,greedy,2,109.3000,true
1,greedy,2,262.3000,true
1,greedy,2,140.7000,true
1,greedy,2,87.2000,true
1,greedy,2,96.6000,true
1,greedy,2,88.4000,true
1,greedy,2,12.0000,true
1,greedy,2,230.4000,true
1,greedy,2,356.0000,true
1,greedy,2,137.8000,true
1,greedy,2,96.1000,true
1,greedy,2,11.8000,true
1,greedy,2,216.1000,true
1,greedy,2,88.8000,true
1,greedy,2,79.8000,true
1,greedy,2,433.5000,true
1,greedy,2,123.7000,true
1,greedy,2,126.8000,true
1,greedy,2,130.1000,true
1,greedy,2,197.5000,true
1,greedy,2,926.9000,true
1,greedy,2,231.2000,true
1,greedy,2,132.7000,true
1,greedy,2,103.8000,true
1,greedy,2,169.4000,true
1,greedy,2,678.5000,true
1,greedy,2,27.0000,true
1,greedy,2,96.0000,true
1,greedy,2,97.8000,true
1,greedy,2,99.4000,true
1,greedy,2,243.8000,true
1,greedy,2,974.1000,true
1,greedy,2,47.0000,true
1,greedy,2,127.8000,true
1,greedy,2,161.4000,true
1,greedy,2,230.3000,true
1,greedy,2,1091.6000,true
1,greedy,2,153.5000,true
1,greedy,2,86.8000,true
1,greedy,2,166.9000,true
1,greedy,2,50.1000,true
1,greedy,2,739.7000,true
1,greedy,2,185.6000,true
1,greedy,2,462.0000,true
1,greedy,2,173.8000,true
1,greedy,2,123.5000,true
1,greedy,2,137.7000,true
1,greedy,2,112.3000,true
1,greedy,2,474.3000,true
1,greedy,2,77.1000,true
1,greedy,2,63.4000,true
1,greedy,2,184.1000,true
1,greedy,2,50.8000,true
1,greedy,2,126.3000,true
1,greedy,2,359.3000,true
1,greedy,2,233.9000,true
1,greedy,2,153.1000,true
1,greedy,2,152.4000,true
1,greedy,2,220.9000,true
1,greedy,2,106.0000,true
1,greedy,2,250.8000,true
1,greedy,2,145.7000,true
1,greedy,2,104.6000,true
1,greedy,2,406.3000,true
1,greedy,2,66.9000,true
1,greedy,2,51.3000,true
1,greedy,2,674.8000,true
1,greedy,2,795.7000,true
1,greedy,2,704.4000,true
1,greedy,2,193.9000,true
1,greedy,2,357.3000,true
1,greedy,3,67.6000,true
1,greedy,3,16.2000,true
1,greedy,3,46.8000,true
1,greedy,3,8.9000,true
1,greedy,3,42.3000,true
1,greedy,3,9.4000,true
1,greedy,3,25.5000,true
1,greedy,3,28.9000,true
1,greedy,3,25.2000,true
1,greedy,3,66.9000,true
1,greedy,3,55.9000,true
1,greedy,3,25.0000,true
1,greedy,3,39.3000,true
1,greedy,3,43.8000,true
1,greedy,3,15.9000,true
1,greedy,3,32.2000,true
1,greedy,3,19.3000,true
1,greedy,3,60.7000,true
1,greedy,3,19.4000,true
1,greedy,3,19.5000,true
1,greedy,3,4.6000,true
1,greedy,3,36.1000,true
1,greedy,3,12.4000,true
1,greedy,3,4.7000,true
1,greedy,3,26.4000,true
1,greedy,3,34.2000,true
1,greedy,3,74.6000,true
1,greedy,3,27.5000,true
1,greedy,3,62.2000,true
1,greedy,3,1.5000,true
1,greedy,3,74.7000,true
1,greedy,3,9.3000,true
1,greedy,3,21.8000,true
1,greedy,3,45.2000,true
1,greedy,3,82.2000,true
1,greedy,3,23.7000,true
1,greedy,3,63.4000,true
1,greedy,3,0.3000,true
1,greedy,3,44.4000,true
1,greedy,3,71.3000,true
1,greedy,3,43.1000,true
1,greedy,3,10.2000,true
1,greedy,3,46.4000,true
1,greedy,3,14.9000,true
1,greedy,3,26.7000,true
1,greedy,3,12.5000,true
1,greedy,3,28.2000,true
1,greedy,3,68.0000,true
1,greedy,3,16.3000,true
1,greedy,3,20.2000,true
1,greedy,3,7.4000,true
1,greedy,3,33.4000,true
1,greedy,3,7.0000,true
1,greedy,3,9.9000,true
1,greedy,3,44.8000,true
1,greedy,3,2.2000,true
1,greedy,3,71.8000,true
1,greedy,3,175.8000,true
1,greedy,3,36.5000,true
1,greedy,3,24.6000,true
1,greedy,3,71.6000,true
1,greedy,3,63.8000,true
1,greedy,3,47.6000,true
1,greedy,3,158.7000,true
1,greedy,3,20.4000,true
1,greedy,3,59.3000,true
1,greedy,3,24.5000,true
1,greedy,3,51.4000,true
1,greedy,3,185.2000,true
1,greedy,3,52.5000,true
1,greedy,3,36.2000,true
1,greedy,3,12.2000,true
1,greedy,3,61.9000,true
1,greedy,3,29.7000,true
1,greedy,3,16.9000,true
1,greedy,3,25.9000,true
1,greedy,3,57.3000,true
